ProductKey,OrderDateKey,CustomerKey,SalesTerritoryKey,OrderQuantity,UnitPrice,DiscountAmount,TotalProductCost,SalesAmount,TaxAmt,Freight
483,20140128,11078,6,1,120,0,44.88,120,9.6,3
225,20140128,11927,1,1,8.99,0,6.9223,8.99,0.7192,0.2248
484,20140128,11927,1,1,7.95,0,2.9733,7.95,0.636,0.1988
484,20140128,28789,4,1,7.95,0,2.9733,7.95,0.636,0.1988
214,20140128,11794,4,1,34.99,0,13.0863,34.99,2.7992,0.8748
529,20140128,14680,9,1,3.99,0,1.4923,3.99,0.3192,0.0998
539,20140128,14680,9,1,24.99,0,9.3463,24.99,1.9992,0.6248
222,20140128,14680,9,1,34.99,0,13.0863,34.99,2.7992,0.8748
228,20140128,14680,9,1,49.99,0,38.4923,49.99,3.9992,1.2498
538,20140128,19585,9,1,21.49,0,8.0373,21.49,1.7192,0.5373
529,20140128,19585,9,1,3.99,0,1.4923,3.99,0.3192,0.0998
222,20140128,19585,9,1,34.99,0,13.0863,34.99,2.7992,0.8748
528,20140128,27686,9,1,4.99,0,1.8663,4.99,0.3992,0.1248
537,20140128,27686,9,1,35,0,13.09,35,2.8,0.875
217,20140128,27686,9,1,34.99,0,13.0863,34.99,2.7992,0.8748
538,20140128,20601,9,1,21.49,0,8.0373,21.49,1.7192,0.5373
529,20140128,20601,9,1,3.99,0,1.4923,3.99,0.3192,0.0998
487,20140128,20601,9,1,54.99,0,20.5663,54.99,4.3992,1.3748
538,20140128,26564,9,1,21.49,0,8.0373,21.49,1.7192,0.5373
465,20140128,26564,9,1,24.49,0,9.1593,24.49,1.9592,0.6123
529,20140128,26564,9,1,3.99,0,1.4923,3.99,0.3192,0.0998
529,20140128,16170,9,1,3.99,0,1.4923,3.99,0.3192,0.0998
540,20140128,16170,9,1,32.6,0,12.1924,32.6,2.608,0.815
483,20140128,16170,9,1,120,0,44.88,120,9.6,3
484,20140128,16927,9,1,7.95,0,2.9733,7.95,0.636,0.1988
488,20140128,11657,4,1,53.99,0,41.5723,53.99,4.3192,1.3498
529,20140128,11287,6,1,3.99,0,1.4923,3.99,0.3192,0.0998
222,20140128,11287,6,1,34.99,0,13.0863,34.99,2.7992,0.8748
237,20140128,11287,6,1,49.99,0,38.4923,49.99,3.9992,1.2498
478,20140128,21717,4,1,9.99,0,3.7363,9.99,0.7992,0.2498
217,20140128,21717,4,1,34.99,0,13.0863,34.99,2.7992,0.8748
528,20140128,23381,1,1,4.99,0,1.8663,4.99,0.3992,0.1248
536,20140128,23381,1,1,29.99,0,11.2163,29.99,2.3992,0.7498
480,20140128,23381,1,1,2.29,0,0.8565,2.29,0.1832,0.0573
478,20140128,21163,4,1,9.99,0,3.7363,9.99,0.7992,0.2498
487,20140128,21163,4,1,54.99,0,20.5663,54.99,4.3992,1.3748
484,20140128,21163,4,1,7.95,0,2.9733,7.95,0.636,0.1988
478,20140128,13350,6,1,9.99,0,3.7363,9.99,0.7992,0.2498
477,20140128,13350,6,1,4.99,0,1.8663,4.99,0.3992,0.1248
473,20140128,13350,6,1,63.5,0,23.749,63.5,5.08,1.5875
